"Product Line","SFDALicense:ProductCNname","SFDALicense:Product EN name","SFDALicense: First Approved Date","Abbr.","REF","SMN","EAN/UPC(DI)","最小销售单元中使用单元的数量","Unit of Use Device Identifier","Package","SFDALicense","Approved Date","Effective Date","SFDALicense:ExpiredDate","SFDALicense:Chinese name of Certificate Holder","SFDALicense:English name of Certificate Holder","SFDALicense:Certificate Holder","SFDALicense:Holder's Address","SFDALicense:Holder's Address2","manufacture's Address","Manufacturer city","IFU valid from Date","IFU valid to Date","CN IFU IssuedDate","Label valid from Date","Label valid to Date","CN Label IssuedDate","Reviewer","ReviewDate","EN IFU Version","EXP(Month)","RA Check Status","CER History (FY-TYPE-Class-CER)","Status","SFDALicense:产品类别(设备/耗材)","SFDALicense:器械类别(器械/体外诊断)","SFDALicense:代理人住所","SFDALicense:代理人名称","SFDALicense:IVD注册申请表分类","SFDALicense:备注(注册证备注信息)","SFDALicense: Abbreviation","SFDALicense:生产标识是否包含失效日期","SFDALicense:生产标识是否包含序列号","SFDALicense:生产标识是否包含批号","SFDALicense:生产标识是否包含生产日期","UDI Database Add/Updated","RA Owner","Released IFU Date","Change EN VS CN","Released IFU no.","Released Label No.","Released Label Date","UDI Database Description","Change Description","ID","Modified","Modified By","BU","License"
"Immulite 2000","促甲状腺激素测定试剂盒(化学发光法)","IMMULITE 2000 Third Generation TSH","2005-05-24","L2KTS 促甲状腺激素测定试剂盒（化学发光法）_2020-08-21","L2KTS6","10381667","00630414962184","1",,"600人份/盒","国械注进20152402538","2024-07-08","2025-05-21","2030-05-20","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2025-05-21","2030-05-20","2025-04-01","2025-05-21","2030-05-20","2025-04-01","Wang Yi He","2020-06-11","PIEL2KTS-4(15), 2008-08-13","12",,"2015_Renewal_II_国械注进20152402538
2020_Renewal_II_国械注进20152402538","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续注册产品技术要求和说明书未发生变化，沿用原核发的产品技术要求和说明书。","促甲状腺激素测定试剂盒(化学发光法)","是","否","是","否",,,"2020-06-15",,"10381667_L2KTS6_SHDP_20200521_CNA","10381667_L2KTS6_SHDP_20250521_CNB","2020-06-15",,,"4868","2025-04-02 16:42","TANG, XU","CAI","国械注进20152402538"
"Immulite 2000","全段甲状旁腺激素测定试剂盒(化学发光法)","IMMULITE2000 Intact PTH","2005-09-03","L2KPP 全段甲状旁腺激素测定试剂盒（化学发光法）_2020-10-12","L2KPP2","10381441","00630414961910","1",,"200人份/盒","国械注进20152403237","2024-07-15","2025-05-26","2030-05-25","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2025-05-26","2030-05-25","2025-04-01","2025-05-26","2030-05-25","2025-04-01","Wang Yi He","2020-06-19","PIL2KPP-19, 2008-08-13","9",,"2016_Renewal_II_国械注进20152403237
2018_Change_II_国械注进20152403237
2020_Renewal_II_国械注进20152403237","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续注册产品说明书和技术要求未发生变化，沿用原核 发的说明书和产品技术要求。","L2KPP","是","否","是","否",,,"2020-06-22",,"10381441_L2KPP2_SHDP_20200526_CNA","10381441_L2KPP2_SHDP_20250526_CNB","2020-06-22",,,"4849","2025-04-02 16:41","TANG, XU","CAI","国械注进20152403237"
"Immulite 2000","全段甲状旁腺激素测定试剂盒(化学发光法)","IMMULITE2000 Intact PTH","2005-09-03","L2KPP 全段甲状旁腺激素测定试剂盒（化学发光法）_2020-10-12","L2KPP6","10381442","00630414961927","1",,"600人份/盒","国械注进20152403237","2024-07-15","2025-05-26","2030-05-25","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2025-05-26","2030-05-25","2025-04-01","2025-05-26","2030-05-25","2025-04-01","Wang Yi He","2020-06-19","PIL2KPP-19, 2008-08-13","9",,"2016_Renewal_II_国械注进20152403237
2018_Change_II_国械注进20152403237
2020_Renewal_II_国械注进20152403237","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续注册产品说明书和技术要求未发生变化，沿用原核 发的说明书和产品技术要求。","L2KPP","是","否","是","否",,,"2020-06-22",,"10381442_L2KPP6_SHDP_20200526_CNA","10381442_L2KPP6_SHDP_20250526_CNB","2020-06-22",,,"4850","2025-04-02 16:41","TANG, XU","CAI","国械注进20152403237"
"Immulite 2000","人绒毛膜促性腺激素测定试剂盒(化学发光法)","IMMULITE 2000 HCG","2005-05-24","L2KCG 人绒毛膜促性腺激素测定试剂盒（化学发光发）_2020-08-21","L2KCG6","10381194","00630414961149","1",,"600人份/盒","国械注进20152402540","2024-07-09","2025-05-11","2030-05-10","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2025-05-11","2030-05-10","2025-04-01","2025-05-11","2030-05-10","2025-04-01","Wang Yi He","2020-05-26","PIEL2KCG-5(30),2012-08-23","12",,"2015_Renewal_II_国械注进20152402540
2020_Renewal_II_国械注进20152402540","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续产品说明书和技术要求未发生变化，沿用原核发的产品说明书和技术要求。","L2KCG 人绒毛膜促性腺激素测定试剂盒（化学发光发）_2020-08-21","是","否","是","否",,,"2020-05-28",,"10381194_L2KCG6_SHDP_20200511_CNA","10381194_L2KCG6_SHDP_20250511_CNB","2020-05-28",,,"4817","2025-04-02 16:40","TANG, XU","CAI","国械注进20152402540"
"Immulite 2000","人绒毛膜促性腺激素测定试剂盒(化学发光法)","IMMULITE 2000 HCG","2005-05-24","L2KCG 人绒毛膜促性腺激素测定试剂盒（化学发光发）_2020-08-21","L2KCG2","10381206","00630414961132","1",,"200人份/盒","国械注进20152402540","2024-07-09","2025-05-11","2030-05-10","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2025-05-11","2030-05-10","2025-04-01","2025-05-11","2030-05-10","2025-04-01","Wang Yi He","2020-05-26","PIEL2KCG-5(30),2012-08-23","12",,"2015_Renewal_II_国械注进20152402540
2020_Renewal_II_国械注进20152402540","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂"," 延续产品说明书和技术要求未发生变化，沿用原核发的产品说明书和技术要求。","L2KCG 人绒毛膜促性腺激素测定试剂盒（化学发光发）_2020-08-21","是","否","是","否",,,"2020-05-28",,"10381206_L2KCG2_SHDP_20200511_CNA","10381206_L2KCG2_SHDP_20250511_CNB","2020-05-28",,,"4816","2025-04-02 15:54","TANG, XU","CAI","国械注进20152402540"
"POC:Urine","尿液分析仪","Clinitek Status+ Analyzer","2012-01-19","Clinitek Status+ Analyzer","10379681","10379681","00630414572352","1",,"Clinitek Status +","国械注进20152221500","2024-01-17","2025-05-11","2030-05-10","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, NY 10591 USA","Tarrytown","Northern Road, Chilton Industrial Estate, Sudbury, Suffolk CO10 2XQ United Kingdom","Sudbury","2025-05-11","2030-05-10","2025-04-01","2025-05-11","2030-05-10","2025-04-01","Dai Jin Xing","2020-05-20","134798 Rev. A, 2009-07","8年",,"2020_Renewal_II_国械注进20152221500","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","Clinitek Status+ Analyzer","否","是","否","否",,,"2020-05-20",,"43962","2025-05-11","2020-05-20",,,"4650","2025-04-02 15:53","TANG, XU","POC","国械注进20152221500"
"POC:Urine","尿液分析仪","Clinitek Advantus Analyzer","2011-06-15","Clinitek Advantus_made in Poland","1420","10484765","00630414602448","1",,"Clinitek Advantus","国械注进20152221612","2023-12-15","2025-05-11","2030-05-10","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","ul. Poznanska 1/C, 62-080 Tarnowo Podgorne, Poland","Poland","2025-05-11","2030-05-10","2025-04-01","2025-05-11","2030-05-10","2025-04-01","Dai Jin Xing","2020-05-20","06635252(133932. Rev. B), 2008-06","10年",,"2020_Renewal_II_国械注进20152221612","Approved","设备","器械","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","Clinitek Advantus_made in Poland","否","是","否","否",,,"2020-05-20",,"43962","2025-05-11","2020-05-20",,,"4649","2025-04-02 15:42","TANG, XU","POC","国械注进20152221612"
"POC:DCA","尿微量白蛋白/肌酐检测试剂盒(免疫比浊法和贝-本二氏试验法)","Microalbumin/Creatinine Reagent Kit","2008-08-22","6011A-ALB, CRE reagent kit白蛋白肌酐试剂","01443699(6011A)","10311480","00630414532790","1",,"10个测试卡/盒","国械注进20152403426","2024-06-17","2025-05-14","2030-05-13","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","430 South Beiger Street, Mishawaka, Indiana 46544, USA","Mishawaka USA","2025-05-14","2030-05-13","2025-04-01","2025-05-14","2030-05-13","2025-04-01","Dai Jin Xing","2020-05-28","80974079 Rev. A, 2008-08","24",,"2016_Renewal_II_国械注进20152403426
2020_Renewal_II_国械注进20152403426","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","6011A-ALB, CRE reagent kit白蛋白肌酐试剂","是","否","是","否",,,"2020-05-28",,"10311480_01443699(6011A)_SHD_20200514_CNA","10311480_01443699(6011A)_SHD_20250514_CNB","2020-05-28",,,"4646","2025-04-02 15:38","TANG, XU","POC","国械注进20152403426"
"POC:DCA","糖化血红蛋白检测试剂盒(免疫乳胶凝集抑制法)","Hemoglobin A1c Reagent Kit","2008-08-22","5035C-HbA1c Reagent Kit糖化血红蛋白试剂","10698915","10698915","00630414592633","10","630414306469","10个测试卡/盒","国械注进20152403427","2024-06-17","2025-05-14","2030-05-13","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","430 South Beiger Street, Mishawaka, Indiana 46544, USA","Mishawaka USA","2025-05-14","2030-05-13","2025-04-01","2025-05-14","2030-05-13","2025-04-01","Dai Jin Xing","2020-05-28","0","24",,"2016_Renewal_II_国械注进20152403427
2017_Change_II_国械注进20152403427
2020_Renewal_II_国械注进20152403427","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","5035C-HbA1c Reagent Kit糖化血红蛋白试剂","是","否","是","否",,,"2020-05-28",,"10698915_SHD_20200514_CNA","10698915_SHD_20250514_CNB","2020-05-28",,,"4645","2025-04-02 15:35","TANG, XU","POC","国械注进20152403427"
"Immulite 2000","促黄体生成素测定试剂盒(化学发光法)","IMMULITE2000 LH","2005-05-24","L2KLH 促黄体生成素测定试剂盒（化学发光法）","L2KLH2","10381211","00630414961699","1",,"200人份/盒","国械注进20172401306","2025-03-28","2026-09-06","2031-09-05","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2021-09-06","2026-09-05","2021-09-29","2021-09-06","2026-09-05","2021-09-29","Wang Qing","2021-09-27","PIL2KLH-19,2008-12-10","12",," 
2017_Renewal_II_国械注进20172401306","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","延续注册产品技术要求和说明书未发生变化，沿用原核发的产品技术要求和说明书。","L2KLH 促黄体生成素测定试剂盒（化学发光法）","是","否","是","否",,,"2021-09-29",,"10381211_L2KLH2_SHDP_20210906_CNA","10381211_L2KLH2_SHDP _20210906_CNB","2021-09-29",,,"4845","2025-04-02 13:22","Liu, Li Ming","CAI","国械注进20172401306"
"Immulite 2000","促黄体生成素测定试剂盒(化学发光法)","IMMULITE2000 LH","2005-05-24","L2KLH 促黄体生成素测定试剂盒（化学发光法）","L2KLH6","10381212","00630414961705","1",,"600人份/盒","国械注进20172401306","2025-03-28","2026-09-06","2031-09-05","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2021-09-06","2026-09-05","2021-09-29","2021-09-06","2026-09-05","2021-09-29","Wang Qing","2021-09-27","PIL2KLH-19,2008-12-10","12",," 
2017_Renewal_II_国械注进20172401306","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","延续注册产品技术要求和说明书未发生变化，沿用原核发的产品技术要求和说明书。","L2KLH 促黄体生成素测定试剂盒（化学发光法）","是","否","是","否",,,"2021-09-29",,"10381212_L2KLH6_SHDP_20210906_CNA","10381212_L2KLH6_SHDP _20210906_CNB","2021-09-29",,,"4846","2025-04-02 13:21","Liu, Li Ming","CAI","国械注进20172401306"
,,,,,,"10309547",,,,"后市场退换货专用",,,,,,,,,,,,,,,,,,,,,,,,"Approved",,,,,,,,,,,,,,,,,,,,,"5869","2025-04-01 10:28","Xiao, Yuan",,
,,,,,,"10309546",,,,"后市场退换货专用",,,,,,,,,,,,,,,,,,,,,,,,"Approved",,,,,,,,,,,,,,,,,,,,,"5868","2025-04-01 10:27","Xiao, Yuan",,
"ADVIA Chem","白蛋白测定试剂盒(溴甲酚紫法)","Albumin BCP Reagents(ALBP)","2016-06-29","ALBP","10711840","10711840","00630414947402","4","00630414006031","4×800测试/盒(ADVIA 1650/1800)或4×700测试/盒(ADVIA 2400/XPT)","国械注进20162402299","2025-03-25","2025-11-13","2030-11-12","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, Mailstop 514, PO Box 6101, Newark, DE 19714, United States","Newark","2020-11-13","2025-11-12","2020-12-17","2020-11-13","2025-11-12","2020-12-17","Zhang Tingting","2020-12-17",,"12",,"2016_New Product_II_国械注进20162402299
2017_Change_II_国械注进20162402299
2021_Renewal_II_国械注进20162402299","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","ALBP","是","否","是","否",,,"2020-12-17",,"10711840(XPT)_SHD_20201113_CNA / 10711840(1650/1800/2400)_SHD_20201113_CNA","10711840_SHD_20201113_CNB","2020-12-17",,,"5096","2025-04-01 10:01","Liu, Chang-Carina","CAI","国械注进20162402299"
"ADVIA Chem","白蛋白测定试剂盒(溴甲酚紫法)","Albumin BCP Reagents(ALBP)","2016-06-29","ALBP","10711841","10711841","00630414947419","4","00630414006055","4×1525测试/盒(ADVIA 1650/1800)或4×1325测试/盒(ADVIA 2400/XPT)","国械注进20162402299","2025-03-25","2025-11-13","2030-11-12","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, Mailstop 514, PO Box 6101, Newark, DE 19714, United States","Newark","2020-11-13","2025-11-12","2020-12-17","2020-11-13","2025-11-12","2020-12-17","Zhang Tingting","2020-12-17",,"12",,"2016_New Product_II_国械注进20162402299
2017_Change_II_国械注进20162402299
2021_Renewal_II_国械注进20162402299","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","ALBP","是","否","是","否",,,"2020-12-17",,"10711841(XPT)_SHD_20201113_CNA / 10711841(1650/1800/2400)_SHD_20201113_CNA","10711841_SHD_20201113_CNB","2020-12-17",,,"5097","2025-04-01 09:56","Liu, Chang-Carina","CAI","国械注进20162402299"
"Atellica CH","白蛋白测定试剂盒(溴甲酚紫法)","Albumin BCP Reagents(ALBP)","2016-06-29","ALBP","11097530","11097530","00630414595825","4","00630414006871","4×1600测试/盒(Atellica CH)","国械注进20162402299","2025-03-25","2025-11-13","2030-11-12","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","511 Benedict Avenue, Tarrytown, New York 10591, USA","Tarrytown","500 GBC Drive, Mailstop 514, PO Box 6101, Newark, DE 19714, United States","Newark","2020-11-13","2025-11-12","2020-12-17","2020-11-13","2025-11-12","2020-12-17","Zhang Tingting","2020-12-17",,"12",,"2016_New Product_II_国械注进20162402299
2017_Change_II_国械注进20162402299
2021_Renewal_II_国械注进20162402299","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发的产品技术要求/说明书。","ALBP","是","否","是","否",,,"2020-12-17",,"11097530_SHD_20201113_CNA","11097530_SHD_20201113_CNB","2020-12-17",,,"5098","2025-04-01 09:55","Liu, Chang-Carina","CAI","国械注进20162402299"
"Immulite 2000","β2微球蛋白测定试剂盒(化学发光法)","IMMULITE 2000 Beta-2 Microglobulin","2010-03-08","L2KBM β2微球蛋白","L2KBM2","10380992","00630414961071","1",,"200人份/盒","国械注进20162404419","2025-03-20","2025-12-07","2030-12-06","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2020-12-07","2025-12-06","2020-01-08","2020-12-07","2025-12-06","2020-01-08","Wang Yi He","2020-01-08","PIL2KBM-19, 2012-11-05","12",,"2016_Renewal_II_国械注进20162404419
2021_Renewal_II_国械注进20162404419","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","L2KBM β2微球蛋白","是","否","是","否",,,"2020-01-08",,"10380992_L2KBM2_SHDP_20201207_CNA","10380992_L2KBM2_SHDP_20201207_CNB","2020-01-08",,,"4815","2025-03-25 17:06","SONG, YUAN YUAN-Alice","CAI","国械注进20162404419"
"Dimension","乳酸测定试剂盒(酶法)","Lactic Acid Flex® reagent cartridge(LA)","2009-03-13","DF16 乳酸测定试剂盒（酶法）","DF16","10444961","00842768005398","4","00630414004440","120测试(4×30/试剂盒)","国械注进20162401439","2025-03-18","2025-10-29","2030-10-28","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","500 GBC Drive Mailstop 514, P.O. Box 6101 Newark, DE 19714-6101, USA","Newark","500 GBC Drive Mailstop 514, P.O. Box 6101 Newark, DE 19714-6101, USA","Newark","2023-06-20","2025-10-28","2023-07-03","2023-06-20","2025-10-28","2023-07-03","Han LingXiu","2020-11-26","2008-02-20 G 717016.001 - US","12",,"2016_Renewal_II_国械注进20162401439
2021_Renewal_II_国械注进20162401439","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-002用于糖类检测的试剂","延续注册产品技术要求未发生变化，沿用原核发的产品技术要求。","DF16 乳酸测定试剂盒（酶法）","是","否","是","否",,,"2020-11-26",,"10444961_DF16_SHD_20230620_CNA","10444961_DF16_SHD_20230620_CNB","2020-11-26",,,"4375","2025-03-21 13:41","Liu, Li Ming","CAI","国械注进20162401439"
"Immulite 2000","糖类抗原125测定试剂盒(化学发光法)","IMMULITE 2000 OM-MA ","2012-08-01","L2KOP 糖类抗原125","L2KOP2","10380972","00630414961798","1",,"200人份/盒","国械注进20162401148","2025-03-14","2025-11-13","2030-11-12","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2024-12-10","2025-11-12","2024-12-27","2024-12-10","2025-11-12","2024-12-27","Wang Yi He","2020-12-02","PIEL2KOP-4(13),2008-07-29","12",,"2016_Renewal_III_国械注进20163401148
2021_Renewal_III_国械注进20163401148","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司"," ","原注册证编号：国械注进2016340114","L2KOP 糖类抗原125","是","否","是","否",,,"2020-12-03",,"10380972_L2KOP2_SHDP_20201113_CNA","10380972_L2KOP2_SHDP _20241210_CNB","2020-12-03",,,"4902","2025-03-20 10:13","Li, Bo Fang","CAI","国械注进20163401148"
"Syva","茶碱检测试剂(酶放大免疫测定法)","Emit®  2000 Theophylline Assay","2009-09-14","4P019UL 茶碱检测试剂","4P019UL","10445324","00842768001024","1",,"抗体/底物试剂1:28mL,酶试剂2:14mL","国械注进20162401704","2025-03-14","2025-11-16","2030-11-15","美国西门子医学诊断股份有限公司","Siemens Healthcare Diagnostics Inc.","SHD Inc","500 GBC Drive, Mailstop 514, PO Box 6101, Newark, DE 19714, United States","Newark","500 GBC Drive, Mailstop 514, PO Box 6101, Newark, DE 19714, United States","Newark","2020-11-16","2025-11-15","2020-12-14","2020-11-16","2025-11-15","2020-12-14","Zhang Qiang","2020-12-14","4P024UL.13DS_US_C 2009-08","18",,"2016_Renewal_II_国械注进20162401704
2018_Change_II_国械注进20162401704
2020_Change_II_国械注进20162401704
2021_Renewal_II_国械注进20162401704","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-008用于药物及药物代谢物检测的试剂"," 延续注册产品技术要求/说明书未发生变化，沿用原核发 的产品技术要求/说明书。","4P019UL 茶碱检测试剂","是","否","是","否",,,"2020-12-14",,"10445324_4P019UL_SHD_20201116_CNA","10445324_4P019UL_SHD_20201116_CNB","2020-12-14",,,"4564","2025-03-19 15:42","MA, NA","HHS","国械注进20162401704"
"Immulite 2000","胰岛素样生长因子结合蛋白-3测定试剂盒(化学发光法)","IMMULITE 2000 IGFBP-3","2005-12-27","L2KGB 胰岛素样生长因子结合蛋白-3","L2KGB2","10381447","00630414966113","1",,"200人份/盒","国械注进20162404085","2025-03-13","2025-11-23","2030-11-22","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2020-11-23","2025-11-22","2020-12-14","2020-11-23","2025-11-22","2020-12-14","Wang Yi He","2020-12-11","PIL2KGB-14,2012-06-18","12",,"2016_Renewal_II_国械注进20162404085
2021_Renewal_II_国械注进20162404085","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-001用于蛋白质检测的试剂","延续注册产品技术要求和说明书未发生变化，沿用原核发的产品技术要求和说明书。","L2KGB 胰岛素样生长因子结合蛋白-3","是","否","是","否",,,"2020-12-14",,"10381447_L2KGB2_SHDP_20201123_CNA","10381447_L2KGB2_SHDP_20201123_CNB","2020-12-14",,,"4837","2025-03-18 15:11","Li, Bo Fang","CAI","国械注进20162404085"
"Immulite 2000","雄烯二酮测定试剂盒(化学发光法)","IMMULITE  2000 Androstenedione","2010-02-02","L2KAO 雄烯二酮","L2KAO2","10381188","00630414961026","1",,"200人份/盒","国械注进20162404413","2025-03-06","2025-11-24","2030-11-23","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","2020-11-24","2025-11-23","2020-12-14","2020-11-24","2025-11-23","2020-12-14","Wang Yi He","2020-12-11","PIL2KAO-17,2010-07-26","12",,"2016_Renewal_II_国械注进20162404413
2021_Renewal_II_国械注进20162404413","Approved","耗材","体外诊断试剂","中国(上海)自由贸易试验区英伦路38号四层410、411、412室","西门子医学诊断产品(上海)有限公司","6840-24-003用于激素检测的试剂","延续注册产品技术要求和说明书未发生变化，沿用原核发的产品技术要求和说明书。","L2KAO 雄烯二酮","是","否","是","否",,,"2020-12-14",,"10381188_L2KAO2_SHDP_20201124_CNA","10381188_L2KAO2_SHDP_20201124_CNB","2020-12-14",,,"4814","2025-03-18 15:05","Li, Bo Fang","CAI","国械注进20162404413"
"Atellica IM","乙型肝炎病毒核心抗体检测试剂盒（直接化学发光法）","HBc Total 2 (HBcT2)",,,"11200739","11200739","00630414604138","1",,"100测试/盒（Atellica IM系列）","国械注进20253400118","2025-03-06","2025-03-06","2030-03-05","英国西门子医学诊断产品有限公司","Siemens Healthcare Diagnostics Products Limited","SHDPL","Glyn Rhonwy, Llanberis, Gwynedd LL55 4EL, United Kingdom","Llanberis","333 Coney Street, East Walpole, Massachusetts 02032, USA","Walpole","2025-03-06","2030-03-05","2025-03-17","2025-03-06","2030-03-05","2025-03-17",,,,"24",,,"Approved","耗材","体外诊断","中国（上海）自由贸易试验区英伦路 38 号四层 410、411、 412 室","西门子医学诊断产品（上海）有限公司","6840-23-001","NA","anti-HBcTotal II(OUS)","是","否","是","否","Add",,,,,"11200739_SHDP_20250306_CNB",,"新产品",,"5866","2025-03-18 14:09","TANG, XU",,
